FantasyPlayerKey,PlayerID,Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints,AuctionValue,AuctionValuePPR
11056,11056,Antonio Brown,PIT,WR,1.5,1.7,8,277.5,263.4,73,78
14967,14967,Le'Veon Bell,PIT,RB,2.5,3.3,8,98.3,296.4,76,81
16771,16771,Todd Gurley,LA,RB,3.3,5.2,8,211.2,247.2,55,45
16389,16389,Odell Beckham Jr,NYG,WR,5,4.1,8,251.7,243.5,59,58
13291,13291,Julio Jones,ATL,WR,5.6,4.2,11,269.5,241.5,60,69
4807,4807,Adrian Peterson,MIN,RB,7,8.6,6,260,227.9,47,36
16847,16847,David Johnson,ARI,RB,7.8,7.4,9,195.9,253.6,60,60
14986,14986,DeAndre Hopkins,HOU,WR,8.1,6.5,9,248.1,213,46,49
10974,10974,Rob Gronkowski,NE,TE,9.5,10.3,9,206.9,186.1,48,50
11270,11270,Dez Bryant,DAL,WR,11.6,11.2,7,65.5,210.5,43,39
16263,16263,Allen Robinson,JAX,WR,11.8,10.1,5,252.4,186.7,29,25
7969,7969,Jamaal Charles,KC,RB,12.4,14.7,5,90.3,243.2,56,52
16524,16524,Devonta Freeman,ATL,RB,13.4,13.6,11,274.9,231.8,50,58
4556,4556,Jordy Nelson,GB,WR,14.2,15,4,259.1,215.7,45,43
13791,13791,Lamar Miller,HOU,RB,14.4,20.3,9,208.4,219.5,43,39
12845,12845,AJ Green,CIN,WR,14.7,12.8,9,211.5,194.3,36,34
14385,14385,Doug Martin,TB,RB,20.5,28.4,6,224.6,191.9,28,21
15138,15138,Eddie Lacy,GB,RB,20.8,31.2,4,135.9,207.6,36,25
14187,14187,Alshon Jeffery,CHI,WR,21.5,20.2,9,118,196.9,36,37
16765,16765,Amari Cooper,OAK,WR,23.9,25.9,10,158.6,167.6,23,23
13337,13337,Mark Ingram,NO,RB,24.3,25.1,5,172.9,217.7,41,45
11667,11667,Brandon Marshall,NYJ,WR,24.7,23,11,259.4,177.6,27,29
16597,16597,Mike Evans,TB,WR,25.6,22.7,6,153.9,175.4,25,25
17050,17050,Thomas Rawls,SEA,RB,25.8,30.9,5,133.7,201.6,30,21
16003,16003,Sammy Watkins,BUF,WR,26.1,27.4,10,179,196.9,34,31
15076,15076,Keenan Allen,SD,WR,27.2,18.9,11,106.5,162.3,20,30
2699,2699,Matt Forte,NYJ,RB,29.2,33.4,11,192.4,197.8,28,30
8355,8355,Julian Edelman,NE,WR,29.8,23.3,9,125.7,162.3,20,29
11932,11932,LeSean McCoy,BUF,RB,29.9,37.6,10,165.3,213.9,37,33
16867,16867,Jeremy Langford,CHI,RB,31.8,33.4,9,141.6,167.5,19,16
13320,13320,Cam Newton,CAR,QB,32.1,37.3,7,438.5,387.6,45,37
11197,11197,Demaryius Thomas,DEN,WR,32.3,28.7,11,183,167,21,25
13124,13124,DeMarco Murray,TEN,RB,34.1,42.6,13,158.2,159.8,15,13
16550,16550,Kelvin Benjamin,CAR,WR,34.7,34.9,7,172.2,167.7,23,22
2593,2593,Aaron Rodgers,GB,QB,34.9,45,4,339.5,360.9,37,30
16568,16568,Brandin Cooks,NO,WR,39.6,33.2,5,191.1,172.4,24,27
15071,15071,Latavius Murray,OAK,RB,39.8,50.4,10,184.6,168,20,16
14005,14005,TY Hilton,IND,WR,41.1,39.1,10,160.5,186.3,31,30
15100,15100,Jordan Reed,WAS,TE,41.6,37,9,177.2,166.3,30,43
16020,16020,Jarvis Landry,MIA,WR,43.2,26.6,8,179.6,158.6,18,27
15020,15020,CJ Anderson,DEN,RB,44.1,47.7,11,131.1,185.4,25,20
16668,16668,Carlos Hyde,SF,RB,44.3,49.4,8,79.2,176,21,15
13227,13227,Randall Cobb,GB,WR,46.3,41.4,4,146.4,159.9,20,22
12708,12708,Dion Lewis,NE,RB,49.7,44.7,9,94.9,156.3,15,23
