StadiumDetails/StadiumID,StadiumDetails/Name,StadiumDetails/City,StadiumDetails/State,StadiumDetails/Country,StadiumDetails/Capacity,StadiumDetails/PlayingSurface,StadiumDetails/GeoLat,StadiumDetails/GeoLong,GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,StadiumDetails
13,Sports Authority Field at Mile High,Denver,CO,USA,76125,Grass,39.743936,-105.020097,201610110,1,2016,1,2016-09-08T20:30:00,CAR,DEN,,,,13,,,,,,,,,,
10,EverBank Field,Jacksonville,FL,USA,67246,Artificial,30.323813,-81.637199,201610115,1,2016,1,2016-09-11T13:00:00,GB,JAX,,,,10,,,,,,,,,,
7,M&T Bank Stadium,Baltimore,MD,USA,71008,Artificial,39.277985,-76.622788,201610103,1,2016,1,2016-09-11T13:00:00,BUF,BAL,,,,7,,,,,,,,,,
11,Reliant Stadium,Houston,TX,USA,71054,Dome,29.684543,-95.410932,201610113,1,2016,1,2016-09-11T13:00:00,CHI,HOU,,,,11,,,,,,,,,,
18,Lincoln Financial Field,Philadelphia,PA,USA,68532,Grass,39.900771,-75.167469,201610126,1,2016,1,2016-09-11T13:00:00,CLE,PHI,,,,18,,,,,,,,,,
25,Georgia Dome,Atlanta,GA,USA,74228,Dome,33.757614,-84.400972,201610102,1,2016,1,2016-09-11T13:00:00,TB,ATL,,,,25,,,,,,,,,,
12,LP Field,Nashville,TN,USA,6914,Grass,36.166441,-86.771253,201610134,1,2016,1,2016-09-11T13:00:00,MIN,TEN,,,,12,,,,,,,,,,
3,MetLife Stadium,East Rutherford,NJ,USA,82500,Artificial,40.813611,-74.074444,201610124,1,2016,1,2016-09-11T13:00:00,CIN,NYJ,,,,3,,,,,,,,,,
27,Mercedes-Benz Superdome,New Orleans,LA,USA,73208,Dome,29.950931,-90.081364,201610122,1,2016,1,2016-09-11T13:00:00,OAK,NO,,,,27,,,,,,,,,,
15,Arrowhead Stadium,Kansas City,MO,USA,76416,Grass,39.049002,-94.483864,201610116,1,2016,1,2016-09-11T13:00:00,SD,KC,,,,15,,,,,,,,,,
31,CenturyLink Field,Seattle,WA,USA,67000,Artificial,47.595153,-122.331625,201610130,1,2016,1,2016-09-11T16:05:00,MIA,SEA,,,,31,,,,,,,,,,
9,Lucas Oil Stadium,Indianapolis,IN,USA,67000,Dome,39.760056,-86.163806,201610114,1,2016,1,2016-09-11T16:25:00,DET,IND,,,,9,,,,,,,,,,
