id,scheduled,home_rotation,away_rotation,home,away,status,venue/id,venue/country,venue/name,venue/city,venue/state,venue/capacity,venue/surface,venue/type,venue/zip,venue/address,broadcast/network,weather/temperature,weather/condition,weather/humidity,weather/wind/speed,weather/wind/direction,broadcast/satellite,broadcast/internet
5619ac19-8fea-4de2-9ce3-88c97a54bfea,2016-09-09T00:30:00+00:00,,,DEN,CAR,scheduled,6589e61d-ef1e-4e30-91b5-9acd2072b8a0,USA,Sports Authority Field at Mile High,Denver,CO,76125,turf,outdoor,80204,1701 Mile High Stadium Circle,NBC,,,,,,,
3b1521d9-ec2c-48e9-b695-c493e65470b1,2016-09-11T17:00:00+00:00,,,TEN,MIN,scheduled,5295c1b7-c85c-49cb-9569-1707c65324e5,USA,Nissan Stadium,Nashville,TN,69143,turf,outdoor,37213,One Titans Way,FOX,,,,,,,
a45fff6c-ace6-4072-a966-c91b8176977e,2016-09-11T17:00:00+00:00,,,PHI,CLE,scheduled,4fa8c29c-6626-464c-8540-314ed7535e1b,USA,Lincoln Financial Field,Philadelphia,PA,68532,turf,outdoor,19148,1020 Pattison Avenue,CBS,,,,,,,
28290722-4ceb-4a4c-a4e5-1f9bec7283b3,2016-09-11T17:00:00+00:00,,,JAC,GB,scheduled,4c5c036d-dd3d-4183-b595-71a43a97560f,USA,EverBank Field,Jacksonville,FL,67246,turf,outdoor,32202,One EverBank Field Drive,FOX,,,,,,,
bae9b12d-850a-40d1-812d-10ec340c67da,2016-09-11T17:00:00+00:00,,,KC,SD,scheduled,2ec4c411-dac2-403d-b091-6b6aa4a0a914,USA,Arrowhead Stadium,Kansas City,MO,79451,turf,outdoor,64129,One Arrowhead Drive,CBS,,,,,,,
3c3167d9-9f67-4ed0-bf1c-e0f3533804da,2016-09-11T17:00:00+00:00,,,HOU,CHI,scheduled,6a72e5ca-33d0-40af-8e6b-b32a4d3d9346,USA,NRG Stadium,Houston,TX,71054,artificial,retractable_dome,77054,One Reliant Park,FOX,,,,,,,
804fd6d8-78cc-4d34-b8e1-84e76f66d52d,2016-09-11T17:00:00+00:00,,,NO,OAK,scheduled,3c85d89a-ec66-4983-acd5-1381d6c8673a,USA,Mercedes-Benz Superdome,New Orleans,LA,76468,artificial,dome,70112,1500 Sugar Bowl Drive,FOX,,,,,,,
41232c5c-ee3a-4fdf-86a3-0f729ee20f55,2016-09-11T17:00:00+00:00,,,ATL,TB,scheduled,216de6bf-bce0-409a-a9e7-90db8df1f7b9,USA,Georgia Dome,Atlanta,GA,74228,artificial,dome,30313,One Georgia Dome Drive Northwest,FOX,,,,,,,
4869831f-c60a-42cd-bd45-577ac3b1b90f,2016-09-11T17:00:00+00:00,,,BAL,BUF,scheduled,d54faae0-0314-484f-8604-9d8dd08e1149,USA,M&T Bank Stadium,Baltimore,MD,71008,artificial,outdoor,21230,1101 Russell Street,CBS,,,,,,,
74e30119-92ef-40b2-bb3e-8d9ffe674ab0,2016-09-11T17:00:00+00:00,,,NYJ,CIN,scheduled,5d4c85c7-d84e-4e10-bd6a-8a15ebecca5c,USA,MetLife Stadium,East Rutherford,NJ,82500,artificial,outdoor,07073,One MetLife Stadium Drive,CBS,,,,,,,
c8dc876a-099e-4e95-93dc-0eb143c6954f,2016-09-11T20:05:00+00:00,,,SEA,MIA,scheduled,c6b9e5df-c9e4-434c-b3e6-83928f11cbda,USA,CenturyLink Field,Seattle,WA,67000,artificial,outdoor,98134,800 Occidental Avenue South,CBS,,,,,,,
409c7354-4cf4-4407-b9e6-1ea745de0243,2016-09-11T20:25:00+00:00,,,DAL,NYG,scheduled,1e84213a-ff1f-4c9d-a003-8ee782b25a40,USA,AT&T Stadium,Arlington,TX,80000,artificial,retractable_dome,76011,One Legends Way,FOX,,,,,,,
673b459c-7506-4c11-9273-1b9502537f1d,2016-09-11T20:25:00+00:00,,,IND,DET,scheduled,6ed18563-53e0-46c2-a91d-12d73a16456d,USA,Lucas Oil Stadium,Indianapolis,IN,67000,artificial,retractable_dome,46225,500 South Capitol Avenue,FOX,,,,,,,
568d84eb-874f-49f4-b77d-dc23412fb87c,2016-09-12T00:30:00+00:00,,,ARI,NE,scheduled,f8e4d2ab-53f9-4e9f-8c4a-9bc278094a84,USA,University of Phoenix Stadium,Glendale,AZ,63400,turf,retractable_dome,85305,One Cardinals Drive,NBC,,,,,,,
791abb84-4560-439e-b85e-87f2a0271c18,2016-09-12T23:10:00+00:00,,,WAS,PIT,scheduled,7c11bb2d-4a53-4842-b842-0f1c63ed78e9,USA,FedExField,Landover,MD,83000,turf,outdoor,20785,1600 FedEx Way,ESPN,,,,,,206,WatchESPN
848b21b3-6588-4194-8257-9359ede4a169,2016-09-13T02:20:00+00:00,,,SF,LA,scheduled,24c71dbf-6469-46f1-8165-22005c295c8f,USA,Levi's Stadium,Santa Clara,CA,68500,turf,outdoor,95054,4900 Marie P DeBartolo Way,ESPN,,,,,,206,WatchESPN
